"phrase","token_count","source","source_type","vertical","snippet","bucket_guess"
"affects gestational age","3","","noun_phrase","","","strong"
"after period is ovulation","4","","noun_phrase","","","strong"
"approach an ovulation calculator","4","","noun_phrase","","","strong"
"approximate conception date","3","","noun_phrase","","","strong"
"around that fertile window","4","","noun_phrase","","","strong"
"assign your due date","4","","noun_phrase","","","strong"
"assigned due date","3","","noun_phrase","","","strong"
"avoid preconception","2","draft_topics","draft_title_subphrase","food_nutrition","","strong"
"basal body temperature","3","","entity","","","strong"
"based due date","3","","noun_phrase","","","strong"
"based on last period","4","","noun_phrase","","","strong"
"bathing tips for newborns","4","imported_urls","import_title_subphrase","parenting","","strong"
"before ovulation cervical mucus","4","","noun_phrase","","","strong"
"between conception and implantation","4","","noun_phrase","","","strong"
"body rhythm for natural","4","","sentence","","","strong"
"both calculation and implantation","4","","noun_phrase","","","strong"
"braxton hicks contractions","3","imported_urls","import_title_subphrase","generic","","strong"
"breast milk supply","3","imported_urls","import_title_subphrase","generic","","strong"
"breastfeeding positions for better latch","5","imported_urls","import_title","parenting","","strong"
"breastfeeding problems and solutions","4","imported_urls","import_title_subphrase","parenting","","strong"
"brief wet phase ovulation","4","","noun_phrase","","","strong"
"broader fertile window","3","","noun_phrase","","","strong"
"calcium in pregnancy","3","draft_topics","draft_title_subphrase","health","","strong"
"calculate conception date","3","","noun_phrase","","","strong"
"calculate fertile window","3","","noun_phrase","","","strong"
"calculate ovulation","2","","noun_phrase","","","strong"
"calculate ovulation without period","4","","noun_phrase","","","strong"
"calculate your pregnancy due date","5","","","","calculate your pregnancy due date","strong"
"calculating conception from ovulation","4","","noun_phrase","","","strong"
"calendar approach an ovulation","4","","noun_phrase","","","strong"
"calendar into personalized ovulation","4","","noun_phrase","","","strong"
"case cervical mucus","3","","noun_phrase","","","strong"
"cervical mucus","2","","entity","","","strong"
"cervical mucus and ovulation","4","","noun_phrase","","","strong"
"cervical mucus for ovulation","4","","noun_phrase","","","strong"
"clues any tracked ovulation","4","","noun_phrase","","","strong"
"cluster feeding explained","3","draft_topics","draft_title","generic","","strong"
"common breastfeeding problems","3","imported_urls","import_title_subphrase","parenting","","strong"
"common breastfeeding problems and solutions","5","imported_urls","import_title","parenting","","strong"
"conception date","2","","entity","","","strong"
"conception date calculator","3","","noun_phrase","","","strong"
"conception date from ovulation","4","","noun_phrase","","","strong"
"conception date from transfer","4","","noun_phrase","","","strong"
"conception identify ovulation","3","","noun_phrase","","","strong"
"conception on the ovulation","4","","noun_phrase","","","strong"
"conception timeline","2","imported_urls","import_title_subphrase","health","","strong"
"conception vs implantation","3","","noun_phrase","","","strong"
"confident routine rather than","4","","sentence","","","strong"
"confirm ovulation","2","","noun_phrase","","","strong"
"confirm the ovulation","3","","noun_phrase","","","strong"
"consistent cervical mucus","3","","noun_phrase","","","strong"
"contraception after pregnancy","3","imported_urls","import_slug","health","","strong"
"contraception options after pregnancy","4","imported_urls","import_title","health","","strong"
"cord care for new parents","5","imported_urls","import_title_subphrase","parenting","","strong"
"core idea find ovulation","4","","noun_phrase","","","strong"
"create birth plan","3","imported_urls","import_title_subphrase","generic","","strong"
"cycle length and luteal","4","","noun_phrase","","","strong"
"cycle length due","3","","noun_phrase","","","strong"
"cycle length due date","4","","noun_phrase","","","strong"
"cycle length end up","4","","noun_phrase","","","strong"
"cycle length jumps","3","","noun_phrase","","","strong"
"cycle length not the","4","","noun_phrase","","","strong"
"cycle length ovulation","3","","noun_phrase","","","strong"
"cycle length ovulation predictor","4","","noun_phrase","","","strong"
"cycle length rather than","4","","noun_phrase","","","strong"
"cycle length subtract 14","4","","noun_phrase","","","strong"
"cycle ovulation","2","","noun_phrase","","","strong"
"cycle ovulation may","3","","noun_phrase","","","strong"
"cycle ovulation may land","4","","noun_phrase","","","strong"
"cycle ovulation often falls","4","","noun_phrase","","","strong"
"cycle ovulation often happens","4","","noun_phrase","","","strong"
"cycle ovulation tends","3","","noun_phrase","","","strong"
"cycle ultrasound","2","","noun_phrase","","","strong"
"cycle ultrasound can show","4","","noun_phrase","","","strong"
"cycle ultrasound ordered","3","","noun_phrase","","","strong"
"days after period","3","","noun_phrase","","","strong"
"days before ovulation","3","","noun_phrase","","","strong"
"days ovulation","2","","noun_phrase","","","strong"
"days shift ovulation","3","","noun_phrase","","","strong"
"days the expected ovulation","4","","noun_phrase","","","strong"
"days your fertile window","4","","noun_phrase","","","strong"
"delayed relative to ovulation","4","","noun_phrase","","","strong"
"do calculate conception date","4","","noun_phrase","","","strong"
"do ovulate question","3","","sentence","","","strong"
"due date","2","","entity","","","strong"
"due date or transfer","4","","noun_phrase","","","strong"
"early miscarriage support","3","draft_topics","draft_title_subphrase","generic","","strong"
"early miscarriage support guide","4","draft_topics","draft_title","generic","","strong"
"early pregnancy","2","imported_urls","import_title_subphrase","health","","strong"
"early pregnancy symptoms","3","imported_urls","import_title_subphrase","health","","strong"
"early pregnancy symptoms before missed","5","imported_urls","import_title_subphrase","health","","strong"
"egg white cervical mucus","4","","noun_phrase","","","strong"
"embryo transfer conception date","4","","noun_phrase","","","strong"
"emotional health","2","imported_urls","import_title_subphrase","health","","strong"
"estimate conception identify ovulation","4","","noun_phrase","","","strong"
"estimate ovulation","2","","noun_phrase","","","strong"
"estimate the conception date","4","","noun_phrase","","","strong"
"estimate your conception date","4","","noun_phrase","","","strong"
"estimated due date","3","","noun_phrase","","","strong"
"estrogen rises before ovulation","4","","noun_phrase","","","strong"
"even have due date","4","","noun_phrase","","","strong"
"exercise during pregnancy","3","draft_topics","draft_title_subphrase","health","","strong"
"expected ovulation","2","","noun_phrase","","","strong"
"expected ovulation date","3","","noun_phrase","","","strong"
"fertile cervical mucus","3","","noun_phrase","","","strong"
"fertile window","2","","entity","","","strong"
"find target ovulation","3","","noun_phrase","","","strong"
"first postpartum period","3","","noun_phrase","","","strong"
"first trimester nutrition","3","imported_urls","import_slug","food_nutrition","","strong"
"five days before ovulation","4","","noun_phrase","","","strong"
"follicular phase","2","imported_urls","import_title_subphrase","health","","strong"
"follicular phase and conception","4","imported_urls","import_slug","health","","strong"
"follicular phase in conception","4","imported_urls","import_title_subphrase","health","","strong"
"foods to avoid preconception","4","draft_topics","draft_title","food_nutrition","","strong"
"for 26 days ovulation","4","","noun_phrase","","","strong"
"for 35 days ovulation","4","","noun_phrase","","","strong"
"for ivf embryo transfer","4","","noun_phrase","","","strong"
"gestational age","2","","entity","","","strong"
"get pregnant","2","imported_urls","import_title_subphrase","health","","strong"
"get pregnant faster","3","","sentence","","","strong"
"getting pregnant after miscarriage","4","imported_urls","import_title_subphrase","generic","","strong"
"gives reliable gestational age","4","","noun_phrase","","","strong"
"guesswork into predictable","3","","sentence","","","strong"
"guide for the first trimester","5","imported_urls","import_title_subphrase","food_nutrition","","strong"
"hcg trigger ovulation","3","","noun_phrase","","","strong"
"heartburn relief","2","draft_topics","draft_title_subphrase","health","","strong"
"highly targeted fertile window","4","","noun_phrase","","","strong"
"hormonal contraception ovulation","3","","noun_phrase","","","strong"
"hours following that ovulation","4","","noun_phrase","","","strong"
"how doctors estimate due dates","5","","","","how doctors estimate due dates","strong"
"how long does it take","5","imported_urls","import_title_subphrase","health","","strong"
"how to calculate conception date","5","","title","","","strong"
"how to calculate ovulation","4","","title","","","strong"
"how to increase breast milk","5","imported_urls","import_title_subphrase","generic","","strong"
"how to use ovulation","4","","noun_phrase","","","strong"
"hydration by trimester","3","draft_topics","draft_title","fitness_wellness","","strong"
"imagine your last period","4","","noun_phrase","","","strong"
"implantation begins producing measurable","4","","noun_phrase","","","strong"
"implantation bleeding date","3","","noun_phrase","","","strong"
"implantation happens later typically","4","","noun_phrase","","","strong"
"in fertile cervical mucus","4","","noun_phrase","","","strong"
"including ovulation","2","","noun_phrase","","","strong"
"increase breast milk","3","imported_urls","import_title_subphrase","generic","","strong"
"increase breast milk supply","4","imported_urls","import_title_subphrase","generic","","strong"
"into personalized ovulation calculator","4","","noun_phrase","","","strong"
"iron calcium","2","draft_topics","draft_title_subphrase","health","","strong"
"iron calcium in pregnancy","4","draft_topics","draft_title","health","","strong"
"iui conception date","3","","noun_phrase","","","strong"
"ivf conception date","3","","noun_phrase","","","strong"
"kits basal body temperature","4","","noun_phrase","","","strong"
"kits or calculate ovulation","4","","noun_phrase","","","strong"
"known due date","3","","noun_phrase","","","strong"
"last menstrual period","3","","noun_phrase","","","strong"
"last period","2","","noun_phrase","","","strong"
"last period start date","4","","noun_phrase","","","strong"
"layered method turns ovulation","4","","noun_phrase","","","strong"
"length due date","3","","noun_phrase","","","strong"
"lmp affects gestational age","4","","noun_phrase","","","strong"
"lmp with long cycle","4","","noun_phrase","","","strong"
"luteal phase defect","3","draft_topics","draft_title_subphrase","generic","","strong"
"luteal phase defect basics","4","draft_topics","draft_title","generic","","strong"
"managing postpartum mood changes","4","imported_urls","import_title","parenting","","strong"
"many days after period","4","","noun_phrase","","","strong"
"mark broader fertile window","4","","noun_phrase","","","strong"
"means calculate conception date","4","","noun_phrase","","","strong"
"measured gestational age","3","","noun_phrase","","","strong"
"meds pregnancy","2","draft_topics","draft_title_subphrase","health","","strong"
"menstrual cycle","2","","entity","","","strong"
"menstrual period","2","","noun_phrase","","","strong"
"miscarriage or conception date","4","","noun_phrase","","","strong"
"monitored basal body temperature","4","","noun_phrase","","","strong"
"months without period","3","","noun_phrase","","","strong"
"morning sickness","2","imported_urls","import_title_subphrase","health","","strong"
"morning sickness during early pregnancy","5","imported_urls","import_title_subphrase","health","","strong"
"mucus for ovulation pictures","4","","noun_phrase","","","strong"
"natural cycles ovulation","3","","noun_phrase","","","strong"
"natural family planning","3","","sentence","","","strong"
"newborn bathing tips","3","imported_urls","import_slug","parenting","","strong"
"newborn care 101","3","imported_urls","import_title_subphrase","real_estate","","strong"
"newborn care 101 the first","5","imported_urls","import_title_subphrase","real_estate","","strong"
"newborn crying","2","draft_topics","draft_title_subphrase","parenting","","strong"
"newborn crying guide","3","draft_topics","draft_title","parenting","","strong"
"newborn feeding","2","draft_topics","draft_title_subphrase","parenting","","strong"
"newborn feeding amounts","3","draft_topics","draft_title","parenting","","strong"
"newborn sleep","2","imported_urls","import_title_subphrase","parenting","","strong"
"newborn sleep patterns","3","imported_urls","import_title_subphrase","parenting","","strong"
"noticed consistent cervical mucus","4","","noun_phrase","","","strong"
"nuchal translucency scan","3","draft_topics","draft_title","generic","","strong"
"of your last period","4","","noun_phrase","","","strong"
"official due date","3","","noun_phrase","","","strong"
"on cycle length ovulation","4","","noun_phrase","","","strong"
"opk typically means ovulation","4","","noun_phrase","","","strong"
"otc meds pregnancy","3","draft_topics","draft_title_subphrase","health","","strong"
"ovulation after iud removal","4","","noun_phrase","","","strong"
"ovulation after miscarriage","3","","noun_phrase","","","strong"
"ovulation after stopping","3","","noun_phrase","","","strong"
"ovulation after stopping birth","4","","noun_phrase","","","strong"
"ovulation and conception date","4","","noun_phrase","","","strong"
"ovulation and either abstain","4","","noun_phrase","","","strong"
"ovulation and put conception","4","","noun_phrase","","","strong"
"ovulation around april","3","","noun_phrase","","","strong"
"ovulation around april 18","4","","noun_phrase","","","strong"
"ovulation as precisely","3","","noun_phrase","","","strong"
"ovulation blends three","3","","noun_phrase","","","strong"
"ovulation blends three layers","4","","noun_phrase","","","strong"
"ovulation calculation lean","3","","noun_phrase","","","strong"
"ovulation calculation lean more","4","","noun_phrase","","","strong"
"ovulation calculator","2","","noun_phrase","","","strong"
"ovulation calculator based","3","","noun_phrase","","","strong"
"ovulation calculator based on","4","","noun_phrase","","","strong"
"ovulation calculator with ultrasound","4","","noun_phrase","","","strong"
"ovulation calculator without","3","","noun_phrase","","","strong"
"ovulation calculator without an","4","","noun_phrase","","","strong"
"ovulation cervical mucus","3","","noun_phrase","","","strong"
"ovulation cervical mucus becomes","4","","noun_phrase","","","strong"
"ovulation cycle","2","imported_urls","import_title_subphrase","health","","strong"
"ovulation date would shift","4","","noun_phrase","","","strong"
"ovulation day","2","","noun_phrase","","","strong"
"ovulation day begin","3","","noun_phrase","","","strong"
"ovulation day begin opks","4","","noun_phrase","","","strong"
"ovulation day even","3","","noun_phrase","","","strong"
"ovulation day even if","4","","noun_phrase","","","strong"
"ovulation day from cycle","4","","noun_phrase","","","strong"
"ovulation day itself","3","","noun_phrase","","","strong"
"ovulation day tied","3","","noun_phrase","","","strong"
"ovulation estimate","2","","entity","","","strong"
"ovulation estimate accordingly","3","","noun_phrase","","","strong"
"ovulation from guesswork","3","","sentence","","","strong"
"ovulation happens about two","4","","noun_phrase","","","strong"
"ovulation has likely passed","4","","noun_phrase","","","strong"
"ovulation more precisely","3","","noun_phrase","","","strong"
"ovulation naturally","2","","noun_phrase","","","strong"
"ovulation naturally at","3","","noun_phrase","","","strong"
"ovulation occurs fixed","3","","noun_phrase","","","strong"
"ovulation occurs fixed number","4","","noun_phrase","","","strong"
"ovulation often falls","3","","noun_phrase","","","strong"
"ovulation often happens","3","","noun_phrase","","","strong"
"ovulation often happens near","4","","noun_phrase","","","strong"
"ovulation often lands","3","","noun_phrase","","","strong"
"ovulation often lands near","4","","noun_phrase","","","strong"
"ovulation pictures","2","","noun_phrase","","","strong"
"ovulation pictures or egg","4","","noun_phrase","","","strong"
"ovulation predictor","2","","noun_phrase","","","strong"
"ovulation predictor kits","3","","noun_phrase","","","strong"
"ovulation predictor kits basal","4","","noun_phrase","","","strong"
"ovulation predictor kits opks","4","","noun_phrase","","","strong"
"ovulation raises resting","3","","noun_phrase","","","strong"
"ovulation raises resting temperature","4","","noun_phrase","","","strong"
"ovulation shift afterward","3","","noun_phrase","","","strong"
"ovulation signs an early","4","","noun_phrase","","","strong"
"ovulation so strong positive","4","","noun_phrase","","","strong"
"ovulation tends","2","","noun_phrase","","","strong"
"ovulation tends to occur","4","","noun_phrase","","","strong"
"ovulation test","2","","noun_phrase","","","strong"
"ovulation test use your","4","","noun_phrase","","","strong"
"ovulation tests","2","","noun_phrase","","","strong"
"ovulation tests or temperature","4","","noun_phrase","","","strong"
"ovulation the answer depends","4","","noun_phrase","","","strong"
"ovulation then place conception","4","","noun_phrase","","","strong"
"ovulation timing is consistent","4","","noun_phrase","","","strong"
"ovulation to around april","4","","noun_phrase","","","strong"
"ovulation trigger","2","","noun_phrase","","","strong"
"ovulation trigger with iui","4","","noun_phrase","","","strong"
"ovulation typically occurs","3","","noun_phrase","","","strong"
"ovulation using basal","3","","noun_phrase","","","strong"
"ovulation using basal body","4","","noun_phrase","","","strong"
"ovulation with 26 day","4","","noun_phrase","","","strong"
"ovulation with 35 day","4","","noun_phrase","","","strong"
"ovulation with irregular","3","","noun_phrase","","","strong"
"ovulation with irregular periods","4","","noun_phrase","","","strong"
"ovulation with much higher","4","","noun_phrase","","","strong"
"ovulation with opks","3","","noun_phrase","","","strong"
"ovulation without","2","","noun_phrase","","","strong"
"ovulation without an app","4","","noun_phrase","","","strong"
"ovulation without period","3","","noun_phrase","","","strong"
"ovulation without period ovulation","4","","noun_phrase","","","strong"
"pcos ovulation","2","","noun_phrase","","","strong"
"pelvic floor exercises","3","imported_urls","import_title_subphrase","generic","","strong"
"pelvic floor exercises after birth","5","imported_urls","import_title","generic","","strong"
"pelvic recovery","2","draft_topics","draft_title_subphrase","fitness_wellness","","strong"
"pelvic recovery after csection","4","draft_topics","draft_title","fitness_wellness","","strong"
"period and typical cycle","4","","noun_phrase","","","strong"
"period based on recent","4","","noun_phrase","","","strong"
"period does conception","3","","noun_phrase","","","strong"
"period does conception occur","4","","noun_phrase","","","strong"
"period ovulation calculator","3","","noun_phrase","","","strong"
"period ovulation calculator based","4","","noun_phrase","","","strong"
"period speak","2","","noun_phrase","","","strong"
"period start date","3","","noun_phrase","","","strong"
"period start date average","4","","noun_phrase","","","strong"
"period start date was","4","","noun_phrase","","","strong"
"period start estimate your","4","","noun_phrase","","","strong"
"period started on april","4","","noun_phrase","","","strong"
"period than someone","3","","noun_phrase","","","strong"
"period tools do this","4","","noun_phrase","","","strong"
"period use that updated","4","","noun_phrase","","","strong"
"period you likely ovulated","4","","noun_phrase","","","strong"
"periods ivf embryo transfer","4","","noun_phrase","","","strong"
"periods or pcos ovulation","4","","noun_phrase","","","strong"
"personalized ovulation calculator","3","","noun_phrase","","","strong"
"phase runs from ovulation","4","","noun_phrase","","","strong"
"place ovulation","2","","noun_phrase","","","strong"
"planning for second pregnancy safely","5","imported_urls","import_title_subphrase","health","","strong"
"planning second pregnancy","3","imported_urls","import_slug","health","","strong"
"positions for better latch","4","imported_urls","import_title_subphrase","parenting","","strong"
"positive only after implantation","4","","noun_phrase","","","strong"
"postpartum hair loss","3","draft_topics","draft_title","parenting","","strong"
"postpartum mood changes","3","imported_urls","import_title_subphrase","parenting","","strong"
"postpartum recovery what to expect","5","imported_urls","import_title_subphrase","ecommerce","","strong"
"postpartum sleep","2","draft_topics","draft_title_subphrase","parenting","","strong"
"postpartum sleep and mood","4","draft_topics","draft_title","parenting","","strong"
"precisely timed ovulation","3","","noun_phrase","","","strong"
"pregnancy due date","3","","","","pregnancy due date","strong"
"pregnancy due date (edd","4","","heading_h1","","","strong"
"pregnancy heartburn","2","draft_topics","draft_title_subphrase","health","","strong"
"pregnancy heartburn relief","3","draft_topics","draft_title","health","","strong"
"pregnancy skin","2","draft_topics","draft_title_subphrase","health","","strong"
"pregnancy skin changes","3","draft_topics","draft_title","health","","strong"
"pregnancy symptoms","2","imported_urls","import_title_subphrase","health","","strong"
"pregnancy symptoms before missed","4","imported_urls","import_title_subphrase","health","","strong"
"pregnancy symptoms before missed period","5","imported_urls","import_title_subphrase","health","","strong"
"pregnancy tests turn positive","4","","noun_phrase","","","strong"
"pumping and storing breast milk","5","imported_urls","import_title_subphrase","generic","","strong"
"questions calculate conception date","4","","noun_phrase","","","strong"
"rather than monthly mystery","4","","sentence","","","strong"
"re looking up implantation","4","","noun_phrase","","","strong"
"re searching conception date","4","","noun_phrase","","","strong"
"real time ovulation","3","","noun_phrase","","","strong"
"real time ovulation calculator","4","","noun_phrase","","","strong"
"recovery after csection","3","draft_topics","draft_title_subphrase","fitness_wellness","","strong"
"refine due date","3","","noun_phrase","","","strong"
"reliable due date","3","","noun_phrase","","","strong"
"reliable gestational age","3","","noun_phrase","","","strong"
"returning to work breastfeeding","4","draft_topics","draft_title_subphrase","parenting","","strong"
"returning to work breastfeeding plan","5","draft_topics","draft_title","parenting","","strong"
"rhythm for natural family","4","","sentence","","","strong"
"role of follicular phase","4","imported_urls","import_title_subphrase","health","","strong"
"routine rather than monthly","4","","sentence","","","strong"
"safe bathing tips for newborns","5","imported_urls","import_title","parenting","","strong"
"safe exercise","2","draft_topics","draft_title_subphrase","health","","strong"
"safe exercise during pregnancy","4","draft_topics","draft_title","health","","strong"
"safe otc","2","draft_topics","draft_title_subphrase","health","","strong"
"safe otc meds","3","draft_topics","draft_title_subphrase","health","","strong"
"safe otc meds pregnancy","4","draft_topics","draft_title","health","","strong"
"search for calculating ovulation","4","","noun_phrase","","","strong"
"searching calculate conception date","4","","noun_phrase","","","strong"
"searching conception date","3","","noun_phrase","","","strong"
"second pregnancy","2","imported_urls","import_title_subphrase","health","","strong"
"set your due date","4","","noun_phrase","","","strong"
"sets reliable due date","4","","noun_phrase","","","strong"
"several days before ovulation","4","","noun_phrase","","","strong"
"several months without period","4","","noun_phrase","","","strong"
"shorter adjust the ovulation","4","","noun_phrase","","","strong"
"signs of ovulation","3","imported_urls","import_title","health","","strong"
"signs that labor is near","5","imported_urls","import_title","generic","","strong"
"simplest calculate conception date","4","","noun_phrase","","","strong"
"size and confirm ovulation","4","","noun_phrase","","","strong"
"skin changes","2","draft_topics","draft_title_subphrase","health","","strong"
"sooner after their period","4","","noun_phrase","","","strong"
"spotting vs implantation","3","draft_topics","draft_title_subphrase","health","","strong"
"spotting vs implantation explained","4","draft_topics","draft_title","health","","strong"
"stopping hormonal contraception ovulation","4","","noun_phrase","","","strong"
"storing breast milk","3","imported_urls","import_title_subphrase","generic","","strong"
"storing breast milk safely","4","imported_urls","import_title_subphrase","generic","","strong"
"stress and ovulation","3","draft_topics","draft_title","health","","strong"
"surges just before ovulation","4","","noun_phrase","","","strong"
"sustained rise after ovulation","4","","noun_phrase","","","strong"
"symptoms before missed period","4","imported_urls","import_title_subphrase","health","","strong"
"take to get pregnant","4","imported_urls","import_title_subphrase","health","","strong"
"targeted fertile window","3","","noun_phrase","","","strong"
"temperature and cervical mucus","4","","noun_phrase","","","strong"
"temperature bbt offers","3","","noun_phrase","","","strong"
"temperature bbt offers confirmation","4","","noun_phrase","","","strong"
"temperature to confirm ovulation","4","","noun_phrase","","","strong"
"test generally means ovulation","4","","noun_phrase","","","strong"
"time ovulation calculator","3","","noun_phrase","","","strong"
"time prediction with ovulation","4","","noun_phrase","","","strong"
"today mark your period","4","","noun_phrase","","","strong"
"tongue tie","2","draft_topics","draft_title_subphrase","parenting","","strong"
"tongue tie and breastfeeding","4","draft_topics","draft_title","parenting","","strong"
"track ovulation","2","","noun_phrase","","","strong"
"track ovulation cycle","3","imported_urls","import_slug","health","","strong"
"track ovulation cycle naturally","4","imported_urls","import_slug","health","","strong"
"track your ovulation","3","imported_urls","import_title_subphrase","health","","strong"
"track your ovulation cycle","4","imported_urls","import_title_subphrase","health","","strong"
"track your ovulation cycle naturally","5","imported_urls","import_title_subphrase","health","","strong"
"transfer conception date","3","","noun_phrase","","","strong"
"transfer conception date calculator","4","","noun_phrase","","","strong"
"transfer conception date iui","4","","noun_phrase","","","strong"
"transfer conception date so","4","","noun_phrase","","","strong"
"two days before ovulation","4","","noun_phrase","","","strong"
"typically happens on ovulation","4","","noun_phrase","","","strong"
"ultrasound based due date","4","","noun_phrase","","","strong"
"umbilical cord care","3","imported_urls","import_title_subphrase","parenting","","strong"
"umbilical cord care for new","5","imported_urls","import_title_subphrase","parenting","","strong"
"understanding braxton hicks contractions","4","imported_urls","import_title","generic","","strong"
"understanding newborn sleep patterns","4","imported_urls","import_title","parenting","","strong"
"up implantation bleeding date","4","","noun_phrase","","","strong"
"updated due date","3","","noun_phrase","","","strong"
"use basal body temperature","4","","noun_phrase","","","strong"
"use ovulation","2","","noun_phrase","","","strong"
"use the due date","4","","noun_phrase","","","strong"
"using basal body temperature","4","","noun_phrase","","","strong"
"wet phase ovulation","3","","noun_phrase","","","strong"
"when do ovulate","3","","sentence","","","strong"
"when do ovulate question","4","","sentence","","","strong"
"when to ask for help","5","","heading_h2","","","strong"
"whether your goal","3","","sentence","","","strong"
"white cervical mucus","3","","noun_phrase","","","strong"
"why do due dates matter?","5","","","","why do due dates matter?","strong"
"window that follows ovulation","4","","noun_phrase","","","strong"
"without period","2","","noun_phrase","","","strong"
"without period ovulation","3","","noun_phrase","","","strong"
"without period ovulation calculator","4","","noun_phrase","","","strong"
"work breastfeeding plan","3","draft_topics","draft_title_subphrase","parenting","","strong"
